# ----------------------------------------
# 1 Master View
# Demographics: Age Gender
# 20141001-20200229
# ----------------------------------------

Age,Gender,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate,Goal Conversion Rate
25-34,male,"482,345","452,492","652,534",41.00%,5.30,00:02:48,"12,222","$1,933,359.76",1.87%,25.74%
18-24,male,"311,710","298,265","385,927",46.43%,4.42,00:02:17,"3,366","$345,071.89",0.87%,18.38%
35-44,male,"260,897","247,069","366,554",39.39%,5.50,00:02:57,"10,060","$1,718,103.43",2.74%,29.12%
25-34,female,"209,810","196,366","294,480",41.93%,5.43,00:03:12,"7,114","$1,313,512.44",2.42%,26.93%
18-24,female,"140,928","133,969","178,169",49.86%,4.05,00:02:23,"1,624","$200,667.86",0.91%,16.71%
45-54,male,"106,871","99,747","136,331",43.70%,4.98,00:02:31,"2,882","$432,043.43",2.11%,23.90%
35-44,female,"89,741","84,697","125,851",43.11%,5.49,00:03:08,"3,238","$729,248.65",2.57%,28.59%
55-64,male,"46,207","44,009","55,410",49.42%,4.10,00:02:09,675,"$81,556.50",1.22%,18.34%
45-54,female,"43,206","41,300","55,401",46.94%,5.08,00:02:57,775,"$103,495.22",1.40%,23.59%
65+,male,"35,572","33,976","40,625",56.76%,3.22,00:01:44,228,"$38,038.44",0.56%,11.47%
55-64,female,"25,074","24,171","31,549",53.57%,4.34,00:02:15,265,"$20,473.97",0.84%,17.90%
65+,female,"16,044","15,478","19,191",58.98%,3.15,00:01:37,146,"$23,917.51",0.76%,11.74%
,,"1,768,405","1,671,539","2,342,022",43.63%,5.00,00:02:42,"42,595","$6,939,489.12",1.82%,23.87%

Day Index,Users,Avg. Order Value
3/18/16,"2,043",$81.27
3/19/16,"1,633",$62.68
3/20/16,"1,824",$35.41
3/21/16,"2,490",$56.13
3/22/16,"3,785",$359.74
3/23/16,"5,181",$219.69
3/24/16,"5,190",$18.79
3/25/16,"4,834",$605.17
3/26/16,"4,351",$0.00
3/27/16,"3,886",$20.93
3/28/16,"4,515",$271.14
3/29/16,"4,880",$45.60
3/30/16,"4,624",$50.78
3/31/16,"4,451",$55.57
4/1/16,"4,077",$114.77
4/2/16,"3,402",$84.05
4/3/16,"3,247",$53.68
4/4/16,"4,004",$55.29
4/5/16,"3,849",$50.51
4/6/16,"3,712",$92.70
4/7/16,"3,639",$43.12
4/8/16,"3,493",$44.22
4/9/16,"3,229",$74.14
4/10/16,"3,712",$65.05
4/11/16,"3,630",$50.39
4/12/16,"4,068",$35.78
4/13/16,"3,658",$81.85
4/14/16,"3,393",$46.11
4/15/16,"3,347",$51.09
4/16/16,"2,764",$72.01
4/17/16,"2,837",$0.00
4/18/16,"3,858",$24.00
4/19/16,"5,053",$345.84
4/20/16,"4,834",$183.81
4/21/16,"4,269",$94.97
4/22/16,"4,241",$120.06
4/23/16,"3,712",$53.39
4/24/16,"3,730",$50.15
4/25/16,"4,405",$39.54
4/26/16,"4,077",$108.71
4/27/16,"4,059",$71.22
4/28/16,"4,168",$62.68
4/29/16,"3,931",$182.42
4/30/16,"3,147",$77.50
5/1/16,"3,065","$1,685.72"
5/2/16,"3,986",$132.27
5/3/16,"4,661",$73.93
5/4/16,"4,278",$85.39
5/5/16,"3,658",$205.95
5/6/16,"3,293",$59.07
5/7/16,"2,745",$45.98
5/8/16,"2,736",$38.20
5/9/16,"3,703",$89.22
5/10/16,"3,758",$253.76
5/11/16,"3,904",$202.54
5/12/16,"3,813",$49.94
5/13/16,"4,059",$43.78
5/14/16,"3,028",$9.63
5/15/16,"2,955",$0.00
5/16/16,"5,281",$50.47
5/17/16,"3,876",$61.74
5/18/16,"3,639",$101.31
5/19/16,"3,776",$66.34
5/20/16,"3,676",$52.75
5/21/16,"2,919",$41.65
5/22/16,"2,882",$33.45
5/23/16,"3,785",$145.19
5/24/16,"3,630",$67.24
5/25/16,"3,566",$168.16
5/26/16,"3,357",$155.09
5/27/16,"3,110",$19.44
5/28/16,"2,463",$47.77
5/29/16,"2,718",$0.00
5/30/16,"3,019",$23.86
5/31/16,"3,393",$80.21
6/1/16,"3,366",$213.45
6/2/16,"3,311",$88.76
6/3/16,"3,238",$111.80
6/4/16,"3,010",$0.00
6/5/16,"2,828",$6.76
6/6/16,"3,357",$27.66
6/7/16,"3,512",$35.83
6/8/16,"3,539",$16.21
6/9/16,"3,594",$51.98
6/10/16,"3,274",$71.36
6/11/16,"2,609",$26.67
6/12/16,"2,691",$20.61
6/13/16,"3,484",$102.79
6/14/16,"3,366",$41.81
6/15/16,"3,347",$205.46
6/16/16,"3,010",$164.63
6/17/16,"3,028",$59.31
6/18/16,"2,490",$0.00
6/19/16,"2,216",$0.00
6/20/16,"2,873",$69.63
6/21/16,"3,019",$32.31
6/22/16,"3,192",$65.79
6/23/16,"2,910",$36.48
