# ----------------------------------------
# 1 Master View
# Product Performance
# 20141001-20200229
# ----------------------------------------

Product,Year,Product Revenue,Unique Purchases,Quantity,Avg. Price,Avg. QTY,Product Refund Amount,Cart-to-Detail Rate,Buy-to-Detail Rate
Google Lunch Bag,2017,"$5,001.56",96,384,$13.02,4.00,$0.00,28.00%,6.07%
Android Nylon Packable Jacket,2016,"$4,966.90",149,186,$26.70,1.25,$0.00,8.91%,2.28%
Jacquard-Knit Full-Zip Fleece,2015,"$4,949.20",63,66,$74.99,1.05,$0.00,6.93%,1.25%
Ceramic Mug 15oz.,2016,"$4,946.40",102,424,$11.67,4.16,$0.00,26.64%,7.85%
Metal Earbuds with Small Zipper Case,2016,"$4,938.44",83,496,$9.96,5.98,$0.00,34.04%,8.03%
YouTube Recycled Spiral Journal,2016,"$4,922.75",35,669,$7.36,19.11,$0.00,12.27%,2.26%
Google Women's Short Sleeve Hero Tee Heather,2017,"$4,905.16",147,345,$14.22,2.35,$0.00,122.73%,95.45%
Android Trace Bottle Black,2018,"$4,903.19",103,241,$20.35,2.34,$0.00,21.96%,3.06%
Google Men's Pullover Hoodie Grey,2017,"$4,884.72",109,120,$40.71,1.10,$0.00,24.72%,6.00%
Simplicity 24oz Water Bottle,2016,"$4,854.60",188,431,$11.26,2.29,$0.00,24.43%,9.11%
Google Men's Lightweight Microfleece Jacket Black,2016,"$4,844.25",72,75,$64.59,1.04,$0.00,21.04%,6.37%
Google Men's Watershed Full Zip Hoodie Grey,2016,"$4,839.49",46,51,$94.89,1.11,$0.00,11.72%,2.63%
YouTube Men's Fleece Hoodie Black,2016,"$4,826.22",78,98,$49.25,1.26,$0.00,39.12%,17.14%
Google Men's 100% Cotton Short Sleeve Hero Tee Red,2016,"$4,824.88",202,312,$15.46,1.54,$0.00,47.11%,15.99%
Chevron Shopper,2016,"$4,800.05",100,"1,270",$3.78,12.70,$0.00,33.36%,8.71%
Anvil L/S Crew Neck - Grey,2016,"$4,795.60",166,214,$22.41,1.29,$0.00,21.05%,4.67%
Porcelain Mosaic Mug,2016,"$4,768.10",127,362,$13.17,2.85,$0.00,21.53%,5.52%
Mens Tech Shell Full-Zip,2016,"$4,727.40",89,94,$50.29,1.06,$0.00,9.71%,2.54%
Classic Flex Notebook,2016,"$4,712.05",39,434,$10.86,11.13,$0.00,10.96%,4.00%
Ballpoint Stick Pen 4 Pack,2016,"$4,678.64",90,"1,336",$3.50,14.84,$0.00,78.57%,107.14%
24oz YouTube Sergeant Stripe Bottle,2015,"$4,657.40",104,803,$5.80,7.72,$0.00,17.38%,2.70%
Globetrotter Backpack,2016,"$4,653.90",71,101,$46.08,1.42,$0.00,8.29%,1.78%
Badge Holder,2016,"$4,628.03",193,"2,437",$1.90,12.63,$0.00,55.05%,18.22%
Compact Bluetooth Speaker,2017,"$4,621.45",15,95,$48.65,6.33,$0.00,22.13%,3.19%
