# ----------------------------------------
# 1 Master View
# Product Performance
# 20141001-20200229
# ----------------------------------------

Product,Year,Product Revenue,Unique Purchases,Quantity,Avg. Price,Avg. QTY,Product Refund Amount,Cart-to-Detail Rate,Buy-to-Detail Rate
Google Jumbo Print Tee White,2019,$0.00,0,0,$0.00,0.00,$0.00,16.41%,0.00%
Google Jumbo Print Tee White,2020,$0.00,0,0,$0.00,0.00,$0.00,2.01%,0.00%
Google Kids Playful Tee,2019,$0.00,0,0,$0.00,0.00,$0.00,37.05%,0.00%
Google Kids Playful Tee,2020,$0.00,0,0,$0.00,0.00,$0.00,1.68%,0.00%
Google Kids Tee Blue,2017,$0.00,0,0,$0.00,0.00,$0.00,18.95%,0.00%
Google Kids Tee Blue,2018,$0.00,0,0,$0.00,0.00,$0.00,24.02%,0.00%
Google Kids Tee Green,2017,$0.00,0,0,$0.00,0.00,$0.00,18.56%,0.00%
Google Kids Tee Green,2018,$0.00,0,0,$0.00,0.00,$0.00,15.34%,0.00%
Google Kids Tee White,2017,$0.00,0,0,$0.00,0.00,$0.00,18.56%,0.00%
Google Kirkland Campus Mug,2020,$0.00,0,0,$0.00,0.00,$0.00,20.00%,0.00%
Google LA Campus Lapel Pin,2020,$0.00,0,0,$0.00,0.00,$0.00,7.69%,0.00%
Google LA Campus Mug,2020,$0.00,0,0,$0.00,0.00,$0.00,7.69%,0.00%
Google LA Campus Sticker,2020,$0.00,0,0,$0.00,0.00,$0.00,7.41%,0.00%
Google LA Campus Tote,2020,$0.00,0,0,$0.00,0.00,$0.00,4.76%,0.00%
Google LA Campus Unisex Tee,2020,$0.00,0,0,$0.00,0.00,$0.00,11.76%,0.00%
Google Laptop Sleeve Charcoal,2020,$0.00,0,0,$0.00,0.00,$0.00,7.19%,0.00%
Google Large Pet Collar (Blue/Green),2020,$0.00,0,0,$0.00,0.00,$0.00,13.33%,0.00%
Google Large Pet Leash,2020,$0.00,0,0,$0.00,0.00,$0.00,5.88%,0.00%
Google Large Standard Journal Grey,2020,$0.00,0,0,$0.00,0.00,$0.00,14.29%,0.00%
Google Large White Gift Bag 5/PK,2020,$0.00,0,0,$0.00,0.00,$0.00,7.14%,0.00%
Google Leather Journal,2016,$0.00,0,0,$0.00,0.00,$0.00,24.46%,0.00%
Google Leather Journal,2017,$0.00,0,0,$0.00,0.00,$0.00,259.00%,0.00%
Google Lightweight Crew Sweatshirt Grey,2019,$0.00,0,0,$0.00,0.00,$0.00,9.00%,0.00%
Google Lightweight Crew Sweatshirt Grey,2020,$0.00,0,0,$0.00,0.00,$0.00,5.37%,0.00%
Google Map T-Shirt                                ,2014,$0.00,0,0,$0.00,0.00,$0.00,4.35%,0.00%
Google Medium Pet Collar,2020,$0.00,0,0,$0.00,0.00,$0.00,6.45%,0.00%
Google Medium Pet Collar (Blue/Green),2020,$0.00,0,0,$0.00,0.00,$0.00,5.71%,0.00%
Google Medium Pet Leash (Blue/Green),2020,$0.00,0,0,$0.00,0.00,$0.00,7.14%,0.00%
Google Men's Discovery Lt. Rain Shell,2020,$0.00,0,0,$0.00,0.00,$0.00,3.85%,0.00%
Google Men's Kirkland Pullover,2020,$0.00,0,0,$0.00,0.00,$0.00,2.51%,0.00%
Google Men's Puff Jacket Black,2020,$0.00,0,0,$0.00,0.00,$0.00,7.49%,0.00%
Google Men's Short Sleeve Hero Tee Light Blue,2016,$0.00,0,0,$0.00,0.00,$0.00,62.32%,0.00%
Google Men's Softshell Jacket Black/Grey,2016,$0.00,0,0,$0.00,0.00,$0.00,29.24%,0.00%
Google Men's Softshell Jacket Black/Grey,2017,$0.00,0,0,$0.00,0.00,$0.00,16.23%,0.00%
Google Men's Softshell Jacket Black/Grey,2019,$0.00,0,0,$0.00,0.00,$0.00,4.91%,0.00%
Google Men's Tech Fleece Grey,2019,$0.00,0,0,$0.00,0.00,$0.00,29.02%,0.00%
Google Men's Tech Fleece Vest Charcoal,2020,$0.00,0,0,$0.00,0.00,$0.00,10.87%,0.00%
Google Men's Weatherblock Shell Jacket Black,2016,$0.00,0,0,$0.00,0.00,$0.00,11.28%,0.00%
Google Men's Weatherblock Shell Jacket Black,2017,$0.00,0,0,$0.00,0.00,$0.00,27.16%,0.00%
Google Mens Microfleece Jacket Black,2018,$0.00,0,0,$0.00,0.00,$0.00,21.45%,0.00%
Google Mountain View Tee Blue,2020,$0.00,0,0,$0.00,0.00,$0.00,2.86%,0.00%
Google Mountain View Tee Red,2019,$0.00,0,0,$0.00,0.00,$0.00,11.73%,0.00%
Google Mural Bottle,2019,$0.00,0,0,$0.00,0.00,$0.00,11.33%,0.00%
Google Mural Bottle,2020,$0.00,0,0,$0.00,0.00,$0.00,9.16%,0.00%
Google Mural Notebook,2019,$0.00,0,0,$0.00,0.00,$0.00,9.69%,0.00%
Google Mural Socks,2019,$0.00,0,0,$0.00,0.00,$0.00,30.91%,0.00%
Google Mural Socks,2020,$0.00,0,0,$0.00,0.00,$0.00,17.45%,0.00%
Google Mural Tote,2019,$0.00,0,0,$0.00,0.00,$0.00,8.42%,0.00%
Google Mustachio Bib Blue,2017,$0.00,0,0,$0.00,0.00,$0.00,56.00%,0.00%
Google Mustachio Bib Blue,2018,$0.00,0,0,$0.00,0.00,$0.00,53.85%,0.00%
Google Mustachio Bib Blue,2019,$0.00,0,0,$0.00,0.00,$0.00,82.61%,0.00%
Google Mustachio Bib White,2017,$0.00,0,0,$0.00,0.00,$0.00,35.71%,0.00%
Google Mustachio Bib White,2018,$0.00,0,0,$0.00,0.00,$0.00,44.48%,0.00%
Google Mustachio Bib White,2019,$0.00,0,0,$0.00,0.00,$0.00,23.81%,0.00%
Google NYC Campus Bottle,2019,$0.00,0,0,$0.00,0.00,$0.00,4.00%,0.00%
Google NYC Campus Lapel Pin,2019,$0.00,0,0,$0.00,0.00,$0.00,4.41%,0.00%
Google NYC Campus Mug,2019,$0.00,0,0,$0.00,0.00,$0.00,12.70%,0.00%
Google NYC Campus Mug,2020,$0.00,0,0,$0.00,0.00,$0.00,14.55%,0.00%
Google NYC Campus Tote,2019,$0.00,0,0,$0.00,0.00,$0.00,2.41%,0.00%
Google NYC Campus Unisex Tee,2020,$0.00,0,0,$0.00,0.00,$0.00,13.95%,0.00%
Google NYC Campus Zip Hoodie,2019,$0.00,0,0,$0.00,0.00,$0.00,1.38%,0.00%
Google Pen Lilac,2020,$0.00,0,0,$0.00,0.00,$0.00,15.25%,0.00%
Google Phone Sanitizer,2017,$0.00,0,0,$0.00,0.00,$0.00,5.52%,0.00%
Google Play Necktie,2014,$0.00,0,0,$0.00,0.00,$0.00,10.71%,0.00%
Google PNW Campus Mug,2020,$0.00,0,0,$0.00,0.00,$0.00,11.11%,0.00%
Google PNW Campus Sticker,2020,$0.00,0,0,$0.00,0.00,$0.00,30.77%,0.00%
Google PNW Campus Unisex Tee,2020,$0.00,0,0,$0.00,0.00,$0.00,4.48%,0.00%
Google PNW Campus Zip Hoodie,2020,$0.00,0,0,$0.00,0.00,$0.00,4.90%,0.00%
Google Pocket Tee Grey,2019,$0.00,0,0,$0.00,0.00,$0.00,18.95%,0.00%
Google Pocket Tee Grey,2020,$0.00,0,0,$0.00,0.00,$0.00,3.95%,0.00%
Google Premium Sunglasses,2020,$0.00,0,0,$0.00,0.00,$0.00,5.24%,0.00%
Google Pride Tote Black,2020,$0.00,0,0,$0.00,0.00,$0.00,17.39%,0.00%
Google Protector Onesie Navy,2017,$0.00,0,0,$0.00,0.00,$0.00,40.85%,0.00%
Google Protector Onesie Navy,2018,$0.00,0,0,$0.00,0.00,$0.00,59.48%,0.00%
Google Protector Onesie Navy,2019,$0.00,0,0,$0.00,0.00,$0.00,29.62%,0.00%
Google Protector Tee Navy,2020,$0.00,0,0,$0.00,0.00,$0.00,23.81%,0.00%
Google Pullover Hoodie Grey,2020,$0.00,0,0,$0.00,0.00,$0.00,35.16%,0.00%
Google Raincoat Navy,2020,$0.00,0,0,$0.00,0.00,$0.00,3.33%,0.00%
Google Recycled Notebook Set Natural,2020,$0.00,0,0,$0.00,0.00,$0.00,1.35%,0.00%
Google Recycled Pen Green,2020,$0.00,0,0,$0.00,0.00,$0.00,11.86%,0.00%
Google Recycled Writing Set,2020,$0.00,0,0,$0.00,0.00,$0.00,9.98%,0.00%
Google Red Speckled Tee,2020,$0.00,0,0,$0.00,0.00,$0.00,4.26%,0.00%
Google Red YoYo,2020,$0.00,0,0,$0.00,0.00,$0.00,23.08%,0.00%
Google RFID Journal,2018,$0.00,2,0,$0.00,0.00,$0.00,0.00%,0.00%
Google Ringer Tee,2019,$0.00,0,0,$0.00,0.00,$0.00,29.13%,0.00%
Google Rolltop Backpack Reflective,2019,$0.00,0,0,$0.00,0.00,$0.00,4.63%,0.00%
Google Seattle Campus Lapel Pin,2020,$0.00,0,0,$0.00,0.00,$0.00,7.69%,0.00%
Google Seattle Campus Mug,2020,$0.00,0,0,$0.00,0.00,$0.00,4.76%,0.00%
Google Seattle Campus Sticker,2020,$0.00,0,0,$0.00,0.00,$0.00,46.67%,0.00%
Google Seattle Campus Unisex Tee,2020,$0.00,0,0,$0.00,0.00,$0.00,5.88%,0.00%
Google SF Campus Mug,2020,$0.00,0,0,$0.00,0.00,$0.00,11.11%,0.00%
Google SF Campus Sticker,2020,$0.00,0,0,$0.00,0.00,$0.00,22.22%,0.00%
Google SF Campus Unisex Tee,2020,$0.00,0,0,$0.00,0.00,$0.00,5.13%,0.00%
Google SF Campus Zip Hoodie,2020,$0.00,0,0,$0.00,0.00,$0.00,4.92%,0.00%
Google Sherpa Zip Hoodie Navy,2019,$0.00,0,0,$0.00,0.00,$0.00,6.25%,0.00%
Google Sherpa Zip Hoodie Navy,2020,$0.00,0,0,$0.00,0.00,$0.00,9.69%,0.00%
Google Shoreline Tonal Crew Maroon,2018,$0.00,0,0,$0.00,0.00,$0.00,9.62%,0.00%
Google Small White Gift Bag 5/PK,2020,$0.00,0,0,$0.00,0.00,$0.00,12.82%,0.00%
Google Standard Bib Red,2017,$0.00,0,0,$0.00,0.00,$0.00,45.00%,0.00%
Google Standard Bib Red,2018,$0.00,0,0,$0.00,0.00,$0.00,41.03%,0.00%
Google Standard Bib Red,2019,$0.00,0,0,$0.00,0.00,$0.00,48.10%,0.00%
Google Standard Onesie Green,2017,$0.00,0,0,$0.00,0.00,$0.00,61.70%,0.00%
Google Standard Onesie Green,2018,$0.00,0,0,$0.00,0.00,$0.00,56.54%,0.00%
Google Standard Onesie Green,2019,$0.00,0,0,$0.00,0.00,$0.00,23.72%,0.00%
Google Standard Onesie Green,2020,$0.00,0,0,$0.00,0.00,$0.00,22.00%,0.00%
Google Standard Onesie Grey,2017,$0.00,0,0,$0.00,0.00,$0.00,61.26%,0.00%
Google Standard Onesie Grey,2018,$0.00,0,0,$0.00,0.00,$0.00,61.52%,0.00%
Google Standard Onesie Grey,2019,$0.00,0,0,$0.00,0.00,$0.00,30.27%,0.00%
Google Stretch Fit Hat,2016,$0.00,0,0,$0.00,0.00,$0.00,19.59%,0.00%
Google Stretch Fit Hat,2017,$0.00,0,0,$0.00,0.00,$0.00,93.75%,0.00%
Google Stretch Fit Hat M/L Navy,2018,$0.00,0,0,$0.00,0.00,$0.00,39.01%,0.00%
Google Stretch Fit Hat M/L Navy,2019,$0.00,0,0,$0.00,0.00,$0.00,40.00%,0.00%
Google Striped Tank,2020,$0.00,0,0,$0.00,0.00,$0.00,1.45%,0.00%
Google Striped Tee White,2019,$0.00,0,0,$0.00,0.00,$0.00,12.85%,0.00%
Google Striped Tee White,2020,$0.00,0,0,$0.00,0.00,$0.00,9.68%,0.00%
Google Super G Tumbler (Blue Lid),2019,$0.00,0,0,$0.00,0.00,$0.00,17.59%,0.00%
Google Super G Tumbler (Blue Lid),2020,$0.00,0,0,$0.00,0.00,$0.00,12.11%,0.00%
Google Super G Tumbler (Red Lid),2019,$0.00,0,0,$0.00,0.00,$0.00,5.69%,0.00%
Google Sustainable Pencil Pouch,2019,$0.00,0,0,$0.00,0.00,$0.00,8.09%,0.00%
Google Sustainable Pencil Pouch,2020,$0.00,0,0,$0.00,0.00,$0.00,15.45%,0.00%
Google Tee F/C Black,2020,$0.00,0,0,$0.00,0.00,$0.00,19.30%,0.00%
Google Tee Mint Green,2020,$0.00,0,0,$0.00,0.00,$0.00,1.02%,0.00%
Google Toddler Flower Tee Purple,2018,$0.00,0,0,$0.00,0.00,$0.00,50.28%,0.00%
Google Toddler Flower Tee Purple,2019,$0.00,0,0,$0.00,0.00,$0.00,39.87%,0.00%
Google Toddler Hero Tee Black,2020,$0.00,0,0,$0.00,0.00,$0.00,6.25%,0.00%
Google Toddler Hero Tee Olive,2019,$0.00,0,0,$0.00,0.00,$0.00,6.15%,0.00%
Google Toddler Hero Tee Olive,2020,$0.00,0,0,$0.00,0.00,$0.00,3.85%,0.00%
Google Toddler Protector Tee Navy,2018,$0.00,0,0,$0.00,0.00,$0.00,56.38%,0.00%
Google Toddler Protector Tee Navy,2019,$0.00,0,0,$0.00,0.00,$0.00,29.10%,0.00%
Google Toddler Tee Blue,2018,$0.00,0,0,$0.00,0.00,$0.00,48.28%,0.00%
Google Toddler Tee Blue,2019,$0.00,0,0,$0.00,0.00,$0.00,61.79%,0.00%
Google Toddler Tee Green,2018,$0.00,0,0,$0.00,0.00,$0.00,47.83%,0.00%
Google Toddler Tee Green,2019,$0.00,0,0,$0.00,0.00,$0.00,35.42%,0.00%
Google Toddler Tee White,2020,$0.00,0,0,$0.00,0.00,$0.00,21.31%,0.00%
Google Toddler Trike Tee Black,2018,$0.00,0,0,$0.00,0.00,$0.00,42.95%,0.00%
Google Toddler Trike Tee Black,2019,$0.00,0,0,$0.00,0.00,$0.00,44.36%,0.00%
Google Todler Tee White,2018,$0.00,0,0,$0.00,0.00,$0.00,32.99%,0.00%
Google Todler Tee White,2019,$0.00,0,0,$0.00,0.00,$0.00,25.84%,0.00%
Google Totepak,2019,$0.00,0,0,$0.00,0.00,$0.00,2.15%,0.00%
Google Totepak,2020,$0.00,0,0,$0.00,0.00,$0.00,2.31%,0.00%
Google Tracking Hat,2018,$0.00,0,0,$0.00,0.00,$0.00,6.06%,0.00%
Google Tracking Hat,2020,$0.00,0,0,$0.00,0.00,$0.00,1.64%,0.00%
Google Tudes Thermal Bottle,2018,$0.00,0,0,$0.00,0.00,$0.00,9.29%,0.00%
Google Twill Cap,2020,$0.00,0,0,$0.00,0.00,$0.00,10.53%,0.00%
Google Unisex Pride Eco-Tee Black,2020,$0.00,0,0,$0.00,0.00,$0.00,1.92%,0.00%
Google Utensil Set,2019,$0.00,0,0,$0.00,0.00,$0.00,3.91%,0.00%
Google Utility Bag Grey,2020,$0.00,0,0,$0.00,0.00,$0.00,8.59%,0.00%
Google Women's 3/4 Sleeve Baseball Raglan Heather/Black,2016,$0.00,0,0,$0.00,0.00,$0.00,53.47%,0.00%
Google Women's 3/4 Sleeve Baseball Raglan Heather/Black,2017,$0.00,0,0,$0.00,0.00,$0.00,49.35%,0.00%
Google Women's Badge Performance Tee Navy,2016,$0.00,0,0,$0.00,0.00,$0.00,40.00%,0.00%
Google Women's Discovery Lt. Rain Shell,2018,$0.00,0,0,$0.00,0.00,$0.00,7.32%,0.00%
Google Women's Discovery Lt. Rain Shell,2020,$0.00,0,0,$0.00,0.00,$0.00,1.79%,0.00%
Google Women's Eco Tee Black,2020,$0.00,0,0,$0.00,0.00,$0.00,40.00%,0.00%
Google Women's Grid Zip-Up,2018,$0.00,0,0,$0.00,0.00,$0.00,6.80%,0.00%
Google Women's Grid Zip-Up,2020,$0.00,0,0,$0.00,0.00,$0.00,10.99%,0.00%
Google Women's Insulated Thermal Vest Navy,2017,$0.00,0,0,$0.00,0.00,$0.00,23.64%,0.00%
Google Women's Kirkland Pullover,2019,$0.00,0,0,$0.00,0.00,$0.00,8.97%,0.00%
Google Women's Kirkland Pullover,2020,$0.00,0,0,$0.00,0.00,$0.00,9.65%,0.00%
Google Women's Long Sleeve Blended Cardigan Charcoal,2016,$0.00,0,0,$0.00,0.00,$0.00,161.54%,0.00%
Google Women's Microfleece Jacket Black,2019,$0.00,0,0,$0.00,0.00,$0.00,18.66%,0.00%
Google Women's Microfleece Jacket Black,2020,$0.00,0,0,$0.00,0.00,$0.00,18.75%,0.00%
Google Women's Outpost Vest,2018,$0.00,0,0,$0.00,0.00,$0.00,12.71%,0.00%
Google Women's Performance Full Zip Jacket Black,2016,$0.00,0,0,$0.00,0.00,$0.00,11.44%,0.00%
Google Women's Performance Full Zip Jacket Black,2017,$0.00,0,0,$0.00,0.00,$0.00,34.07%,0.00%
Google Women's Puff Jacket Black,2019,$0.00,0,0,$0.00,0.00,$0.00,11.90%,0.00%
Google Women's Puff Jacket Black,2020,$0.00,0,0,$0.00,0.00,$0.00,12.70%,0.00%
Google Women's Recycled Fabric Tee,2017,$0.00,0,0,$0.00,0.00,$0.00,36.00%,0.00%
Google Women's Short Sleeve Badge Tee Ice Gray,2017,$0.00,0,0,$0.00,0.00,$0.00,200.00%,0.00%
Google Women's Short Sleeve Hero V-Neck Tee Black,2016,$0.00,0,0,$0.00,0.00,$0.00,56.38%,0.00%
Google Women's Short Sleeve Hero V-Neck Tee Black,2017,$0.00,0,0,$0.00,0.00,$0.00,42.11%,0.00%
Google Women's Short Sleeve V-Neck Tee Dark Grey,2017,$0.00,0,0,$0.00,0.00,$0.00,200.00%,0.00%
Google Women's Softshell Moss,2019,$0.00,0,0,$0.00,0.00,$0.00,4.88%,0.00%
Google Women's Softshell Moss,2020,$0.00,0,0,$0.00,0.00,$0.00,6.06%,0.00%
Google Women's Striped L/S,2019,$0.00,0,0,$0.00,0.00,$0.00,18.27%,0.00%
Google Women's Tank Top Light Gray,2016,$0.00,0,0,$0.00,0.00,$0.00,300.00%,0.00%
Google Women's Tank Top Light Gray,2017,$0.00,0,0,$0.00,0.00,$0.00,400.00%,0.00%
Google Women's Tech Fleece Vest Charcoal,2019,$0.00,0,0,$0.00,0.00,$0.00,9.88%,0.00%
Google Women's Tee Grey,2020,$0.00,0,0,$0.00,0.00,$0.00,33.90%,0.00%
Google Women's V-Neck Tee Grey,2017,$0.00,0,0,$0.00,0.00,$0.00,46.59%,0.00%
Google Women's Weatherblock Shell Jacket Black,2016,$0.00,0,0,$0.00,0.00,$0.00,13.41%,0.00%
Google Women's Weatherblock Shell Jacket Black,2017,$0.00,0,0,$0.00,0.00,$0.00,41.89%,0.00%
Google Yellow YoYo,2020,$0.00,0,0,$0.00,0.00,$0.00,5.88%,0.00%
Google Youth Badge Tee Olive,2019,$0.00,0,0,$0.00,0.00,$0.00,11.94%,0.00%
Google Youth Badge Tee Olive,2020,$0.00,0,0,$0.00,0.00,$0.00,33.33%,0.00%
Google Youth Color Block Tee White,2019,$0.00,0,0,$0.00,0.00,$0.00,21.34%,0.00%
Google Youth Color Block Tee White,2020,$0.00,0,0,$0.00,0.00,$0.00,9.17%,0.00%
Google Youth F/C Pullover Hoodie,2019,$0.00,0,0,$0.00,0.00,$0.00,11.57%,0.00%
Google Youth FC Longsleeve Charcoal,2020,$0.00,0,0,$0.00,0.00,$0.00,13.01%,0.00%
Google Youth Hero Tee Maroon,2019,$0.00,0,0,$0.00,0.00,$0.00,14.21%,0.00%
Google Youth Jumbo Print Tee White,2019,$0.00,0,0,$0.00,0.00,$0.00,19.49%,0.00%
Google Youth Jumbo Print Tee White,2020,$0.00,0,0,$0.00,0.00,$0.00,25.00%,0.00%
Google Youth Pocket Tee Blue,2019,$0.00,0,0,$0.00,0.00,$0.00,14.66%,0.00%
Google Youth Pocket Tee Blue,2020,$0.00,0,0,$0.00,0.00,$0.00,4.44%,0.00%
Google Youth Pocket Tee Red,2019,$0.00,0,0,$0.00,0.00,$0.00,11.36%,0.00%
Google Youth Pocket Tee Red,2020,$0.00,0,0,$0.00,0.00,$0.00,10.00%,0.00%
Google Zip Hoodie Black,2020,$0.00,0,0,$0.00,0.00,$0.00,1.33%,0.00%
Googler Starter Pack,2019,$0.00,0,0,$0.00,0.00,$0.00,5.66%,0.00%
Graphite Compu-Backpack,2014,$0.00,0,0,$0.00,0.00,$0.00,0.80%,0.00%
Helping Hands Clutch,2015,$0.00,0,0,$0.00,0.00,$0.00,1.63%,0.00%
Helpouts Unisex Tri-Blend Crew,2014,$0.00,0,0,$0.00,0.00,$0.00,10.00%,0.00%
Ingress Patch,2014,$0.00,0,0,$0.00,0.00,$0.00,1.89%,0.00%
Jacquard Knit with Cuff and Pom,2014,$0.00,0,0,$0.00,0.00,$0.00,4.17%,0.00%
Knit Half Zip,2015,$0.00,0,0,$0.00,0.00,$0.00,5.34%,0.00%
Ladies Axis Shell,2015,$0.00,0,0,$0.00,0.00,$0.00,2.02%,0.00%
Ladies Blueprint for a Better Inbox T-Shirt,2015,$0.00,0,0,$0.00,0.00,$0.00,5.01%,0.00%
Ladies Hooded French Terry,2014,$0.00,0,0,$0.00,0.00,$0.00,5.56%,0.00%
Ladies Kristen Light Jersey Zip-Up                ,2014,$0.00,0,0,$0.00,0.00,$0.00,5.00%,0.00%
Ladies Sublimation Track Jacket,2015,$0.00,0,0,$0.00,0.00,$0.00,1.57%,0.00%
Ladies YouTube Favorite Tee                       ,2014,$0.00,0,0,$0.00,0.00,$0.00,6.67%,0.00%
Large Recycled Journal/Pen Combo,2016,$0.00,0,0,$0.00,0.00,$0.00,127.88%,0.00%
Learning Thermostat 3rd Gen-USA - Copper,2019,$0.00,0,0,$0.00,0.00,$0.00,46.56%,0.00%
Learning Thermostat 3rd Gen-USA - White,2019,$0.00,0,0,$0.00,0.00,$0.00,46.08%,0.00%
Leatherette Journal,2019,$0.00,0,0,$0.00,0.00,$0.00,28.71%,0.00%
Local Guides Sticker Sheet,2015,$0.00,0,0,$0.00,0.00,$0.00,6.78%,0.00%
Mechanical Colored Pencil Pack,2014,$0.00,0,0,$0.00,0.00,$0.00,7.69%,0.00%
Men's Google Quilted Thermolite Vest,2016,$0.00,0,0,$0.00,0.00,$0.00,"2,000.00%",0.00%
Men's Ringspun L/S Hooded T-Shirt,2014,$0.00,0,0,$0.00,0.00,$0.00,4.88%,0.00%
Nest Tote,2015,$0.00,0,0,$0.00,0.00,$0.00,5.56%,0.00%
Nest® Learning Thermostat 3rd Gen-USA,2017,$0.00,0,0,$0.00,0.00,$0.00,61.55%,0.00%
NestÂ®  Thermostat E - CA,2019,$0.00,0,0,$0.00,0.00,$0.00,50.00%,0.00%
NestÂ® Cam Indoor Security Camera - CA,2019,$0.00,0,0,$0.00,0.00,$0.00,25.00%,0.00%
NestÂ® Cam IQ - CA,2018,$0.00,0,0,$0.00,0.00,$0.00,25.00%,0.00%
NestÂ® Cam IQ - CA,2019,$0.00,0,0,$0.00,0.00,$0.00,42.86%,0.00%
NestÂ® Learning Thermostat 3rd Gen - CA - Stainless Steel,2019,$0.00,0,0,$0.00,0.00,$0.00,80.00%,0.00%
NestÂ® Protect Smoke + CO White Battery Alarm - CA,2019,$0.00,0,0,$0.00,0.00,$0.00,30.00%,0.00%
NestÂ® Protect Smoke + CO White Wired Alarm - CA,2019,$0.00,0,0,$0.00,0.00,$0.00,60.00%,0.00%
NEW Mens Vintage Heather T-Shirt GREEN S,2015,$0.00,0,0,$0.00,0.00,$0.00,100.00%,0.00%
Organic Cotton T-Shirt - Red                      ,2014,$0.00,0,0,$0.00,0.00,$0.00,12.90%,0.00%
Pet Rope Disc,2014,$0.00,0,0,$0.00,0.00,$0.00,17.39%,0.00%
Professional Cloud Architect Men's North Face Pullover,2018,$0.00,364,364,$0.00,1.00,$0.00,36.68%,29.03%
Professional Cloud Architect Timbuk2 Flip Pack,2018,$0.00,143,143,$0.00,1.00,$0.00,22.13%,17.48%
Professional Cloud Architect Women's North Face Pullover,2018,$0.00,16,16,$0.00,1.00,$0.00,18.97%,9.20%
Professional Data Engineer North Face Pullover Men's,2018,$0.00,127,127,$0.00,1.00,$0.00,37.77%,30.75%
Professional Data Engineer North Face Pullover Women's,2018,$0.00,26,26,$0.00,1.00,$0.00,28.41%,29.55%
Professional Data Engineer Timbuk2 Flip Pack,2018,$0.00,61,61,$0.00,1.00,$0.00,19.24%,17.78%
Professional Data Engineer's Women's North Face Pullover,2018,$0.00,0,0,$0.00,0.00,$0.00,11.11%,0.00%
Protect Smoke + CO White Battery Alarm-USA,2019,$0.00,0,0,$0.00,0.00,$0.00,52.16%,0.00%
Protect Smoke + CO White Wired Alarm-USA,2019,$0.00,0,0,$0.00,0.00,$0.00,54.49%,0.00%
Recycled Content T-Shirt,2015,$0.00,0,0,$0.00,0.00,$0.00,2.75%,0.00%
Recycled Journal Set,2014,$0.00,0,0,$0.00,0.00,$0.00,1.82%,0.00%
Recycled Mosquito Netting Computer Sleeve,2015,$0.00,0,0,$0.00,0.00,$0.00,1.06%,0.00%
Recycled Paper Journal Set,2018,$0.00,0,0,$0.00,0.00,$0.00,51.49%,0.00%
Red Spiral Google Notebook,2019,$0.00,0,0,$0.00,0.00,$0.00,30.00%,0.00%
Resistance Hoodie,2015,$0.00,0,0,$0.00,0.00,$0.00,0.50%,0.00%
Secure Alarm System Starter Pack - USA,2019,$0.00,0,0,$0.00,0.00,$0.00,29.13%,0.00%
Set of 3 Nested Travel Cases,2016,$0.00,0,0,$0.00,0.00,$0.00,10.68%,0.00%
Sili Square Ceramic Tumbler,2014,$0.00,0,0,$0.00,0.00,$0.00,2.50%,0.00%
Skateboarding Pads                                ,2014,$0.00,0,0,$0.00,0.00,$0.00,14.29%,0.00%
Snowflake Android Cardboard Sculpture,2019,$0.00,0,0,$0.00,0.00,$0.00,9.04%,0.00%
Snowflake Android Cardboard Sculpture,2020,$0.00,0,0,$0.00,0.00,$0.00,7.73%,0.00%
Sportula 3-Piece Set,2015,$0.00,0,0,$0.00,0.00,$0.00,4.17%,0.00%
Stan and Friends Onesie Green,2019,$0.00,0,0,$0.00,0.00,$0.00,27.45%,0.00%
Stan and Friends Onesie Green,2020,$0.00,0,0,$0.00,0.00,$0.00,16.67%,0.00%
Stan and Friends Toddler Tee Green,2019,$0.00,0,0,$0.00,0.00,$0.00,4.35%,0.00%
Stan and Friends Toddler Tee Green,2020,$0.00,0,0,$0.00,0.00,$0.00,10.00%,0.00%
Stan and Friends Youth Tee Green,2019,$0.00,0,0,$0.00,0.00,$0.00,10.00%,0.00%
Supernatural Paper Backpack,2020,$0.00,0,0,$0.00,0.00,$0.00,6.19%,0.00%
Supernatural Paper Tote,2020,$0.00,0,0,$0.00,0.00,$0.00,4.17%,0.00%
Supreme Treat Box,2016,$0.00,0,0,$0.00,0.00,$0.00,0.77%,0.00%
Tag - USA,2019,$0.00,0,0,$0.00,0.00,$0.00,9.45%,0.00%
Temperature Sensor - US,2019,$0.00,0,0,$0.00,0.00,$0.00,48.33%,0.00%
Temperature Sensor 3 Pack -US,2019,$0.00,0,0,$0.00,0.00,$0.00,56.36%,0.00%
The New Digital Age Book,2016,$0.00,0,0,$0.00,0.00,$0.00,2.78%,0.00%
Thermostat E - USA,2019,$0.00,0,0,$0.00,0.00,$0.00,40.04%,0.00%
USA Big Buddy Pens Pk/5,2014,$0.00,0,0,$0.00,0.00,$0.00,20.00%,0.00%
Waze Men's Short Sleeve Tee,2019,$0.00,0,0,$0.00,0.00,$0.00,1.02%,0.00%
Waze Men's Typography Short Sleeve Tee,2019,$0.00,0,0,$0.00,0.00,$0.00,15.38%,0.00%
Women's Android Heart T-Shirt,2014,$0.00,0,0,$0.00,0.00,$0.00,11.36%,0.00%
Women's YouTubeShort Sleee Jersey Crew,2016,$0.00,0,0,$0.00,0.00,$0.00,"2,700.00%",0.00%
Womens Tour Jersey,2015,$0.00,0,0,$0.00,0.00,$0.00,4.06%,0.00%
