Rank,Company Name,Number of Employees,Previous Rank,Revenues ($m),Revenue Change,Profits ($m),Profit Change,Assets ($m),Market Value ($m)
475,AmTrust Financial Services,8000,531.0,5451,18.1%,411.0,-8.8%,22615,3158
476,Cincinnati Financial,4754,499.0,5449,6.0%,590.7,-6.8%,20386,11911
477,Simon Property Group,4050,488.0,5435,3.2%,1838.9,0.6%,31104,53732
478,Western Union,10700,468.0,5423,-1.1%,253.2,-69.8%,9420,9691
479,KeyCorp,15700,540.0,5422,19.4%,791.0,-13.6%,136453,19238
480,Delek US Holdings,1326,445.0,5414,-6.0%,-153.7,-892.3%,2985,1504
481,Booz Allen Hamilton Holding,22600,487.0,5406,2.5%,294.1,26.5%,3010,5307
482,Chemours,7000,,5400,-,7.0,-,6060,7080
483,Western & Southern Financial Group,2178,479.0,5398,0.8%,241.2,-47.2%,43831,-
484,Regions Financial,7293,453.0,5389,-5.0%,900.0,196.1%,8357,12643
485,Windstream Holdings,11870,443.0,5387,-6.6%,-383.5,-,11770,1038
486,Seaboard,11781,460.0,5379,-3.8%,312.0,82.5%,4755,4881
487,Essendant,6600,477.0,5369,0.1%,63.9,-,2164,568
488,Apache,3727,388.0,5354,-19.5%,-1405.0,-,22519,19547
489,Airgas,17000,484.0,5314,0.2%,337.5,-8.3%,6135,-
490,Kelly Services,7500,467.0,5277,-4.4%,120.8,124.5%,2028,836
491,Liberty Media,3626,525.0,5276,10.0%,680.0,962.5%,31377,13055
492,Rockwell Collins,19000,490.0,5259,-0.1%,728.0,6.1%,7707,12711
493,Robert Half International,16400,503.0,5250,3.1%,343.4,-4.0%,1778,6240
494,CH2M Hill,20000,478.0,5236,-2.3%,15.0,-81.3%,2671,-
495,Big Lots,23150,495.0,5200,0.2%,152.8,7.0%,1608,2180
496,Michaels Cos.,31000,517.0,5197,5.8%,378.2,4.2%,2148,4229
497,Toll Brothers,4200,576.0,5170,23.9%,382.1,5.2%,9737,5872
498,Yahoo,8500,513.0,5169,4.0%,-214.3,-,48083,44391
499,Vistra Energy,4431,,5164,-,-,-,15167,6968
500,ABM Industries,110000,485.0,5145,-2.8%,57.2,-25.0%,2281,2428
